userids	MLciosek	StephSigg
1294220396468854784	1	0
1046823147851403265	1	0
1400768358530928641	1	0
1160308556366798850	1	0
1090639501230108673	1	0
907064885191647233	1	0
885043239832756224	1	0
950291864187523072	1	0
1290300133087862785	1	0
1280142008070307843	1	0
24859650	1	0
810169797589823492	1	0
2237355018	1	0
784315494207672326	1	0
1398857436832796680	1	0
925419726045577217	1	0
939947443143057408	1	0
2975628301	1	0
408135698	1	0
899783769854320640	1	0
2440134164	1	0
1362795497560420365	0	1
79918104	1	0
709400457920143360	0	1
2860929573	1	0
130671142	1	0
422388777	1	0
1050798081556516864	0	1
211137580	1	0
275674669	1	0
211079733	1	0
291620918	1	0
15616053	1	0
2991191096	1	0
116832314	1	0
625522234	1	0
2842853434	1	0
347886653	1	0
1058554245513797632	1	0
1073125598732668928	1	0
1039182970832084992	1	0
967040398542688256	1	0
1037359212937007104	1	0
861909801554595840	1	0
335130183	1	0
801449812486782976	1	0
78969930	1	0
709765242155372544	0	1
29773	1	0
710401185392435200	1	0
210891347	0	1
911204188985708544	1	0
906010185612746752	1	0
4633095775	1	0
2601869406	1	0
14192224	0	1
41420898	1	0
2740022882	1	0
14867044	1	0
228792418	1	0
71176803	0	1
3016057962	1	0
1149652811443048448	1	0
14190188	1	0
912043204370993152	1	0
953402519245398016	1	0
844092413530447872	1	0
368611952	1	0
918174481130037248	1	0
945022495417094146	1	0
1275775092	1	0
18947701	1	0
29028473	0	1
1110268109846466560	1	0
994963056047411200	1	0
3439194748	0	1
978146923881291776	0	1
979006910090350592	1	0
1054895671164063744	1	0
4561352835	1	0
926551285788233728	1	0
970803673155751936	1	0
709242017348358144	1	0
117471367	1	0
1259109570548387841	1	0
15137923	1	0
1400036995	1	0
934825391616937986	1	0
1188194554761154561	1	0
935145441242550273	1	0
186259081	1	0
939253883892830209	1	0
1241762541782601731	1	0
775271102465581056	1	0
911175826812448768	1	0
917330389768851457	1	0
11892372	1	0
4010499735	1	0
3948752537	1	0
432396811	0	1
2195935394	0	1
310950572	1	0
1280817898546700288	1	0
54355632	1	0
940441783	1	0
2473168056	1	0
109550268	1	0
940957886	1	0
1018009919935668224	1	0
717290673251213312	1	0
305474242	1	0
962894737286950912	1	0
876785354	1	0
2319245521	1	0
900436693	1	0
1028253653319213057	1	0
977171370550419457	1	0
2444302555	1	0
3027431134	1	0
754275750031790080	0	1
2249949408	1	0
3248357604	1	0
75364580	1	0
39296742	1	0
53514472	1	0
296772330	0	1
108712683	1	0
134112653	0	1
84240624	1	0
1024484597801791488	1	0
2937421555	1	0
1089430670382837760	1	0
801923317	1	0
2408311538	0	1
1343946116073742337	0	1
185361150	1	0
3355904255	1	0
799830497065050112	1	0
752505338511908864	1	0
1056980495555272704	1	0
1044451556538507264	1	0
17356547	1	0
1302326433725980673	1	0
1270795313469677568	1	0
927781706333003776	1	0
29866761	1	0
1294433125318172672	1	0
39470345	1	0
843130221742186497	1	0
1007340370622078977	1	0
1007350645198938113	1	0
295163151	1	0
1384292112	1	0
394263815	1	0
89467149	1	0
23010579	1	0
2575614229	1	0
1059159219520397313	1	0
1019206329867689985	1	0
847860505	1	0
1890736922	1	0
457507095	1	0
958312958593064961	1	0
6039832	1	0
854833945258491905	1	0
813934789807833089	1	0
937426261483380742	0	1
361319206	1	0
540130092	1	0
43489069	1	0
908214598800523265	1	0
264350512	0	1
2953912113	1	0
3724940594	1	0
889699398824804352	0	1
572095287	1	0
777609989242384385	1	0
494979388	1	0
3305337149	1	0
3634336574	1	0
224161598	1	0
721931072	1	0
39697728	0	1
769279457387540480	1	0
789116762986049536	0	1
948170025952673792	1	0
997427195835494401	1	0
90120525	1	0
560488803	1	0
140731748	1	0
147904869	1	0
993505818753544194	1	0
947465066	1	0
3337770347	1	0
3358905196	1	0
2922540907	1	0
883956867617239040	1	0
957309856003768320	1	0
953446052648042496	1	0
911675917063385089	1	0
204965245	1	0
636899073	0	1
957568530626555904	1	0
1182265837551529984	1	0
793739717833469952	1	0
1204086170726150144	1	0
3893089157	1	0
1059978513560858625	1	0
969607487153467393	1	0
1217386688290357248	1	0
808553300811362305	1	0
1260995186001211393	1	0
351555467	1	0
877868973026455553	1	0
3310311821	1	0
36192134	1	0
839139788846411777	1	0
2843746704	1	0
16928656	1	0
21457289	1	0
2664299401	1	0
115091858	1	0
892796129653469188	1	0
18874262	1	0
718427877339971584	1	0
800568422350237700	1	0
4618735512	1	0
1242550925270691845	1	0
1200891119611129861	1	0
1081531347540135936	1	0
797856637298077701	0	1
1857841566	1	0
882883898685915137	1	0
4338555809	1	0
838704547	1	0
1002748836	1	0
761431672042557441	0	1
761064041322156032	0	1
1299563436	1	0
359956908	1	0
19648943	0	1
697689013751300096	0	1
109390268	1	0
2835605948	0	1
224964544	1	0
37835200	1	0
336896451	1	0
19178438	1	0
809862190803124224	1	0
317694408	1	0
821019422479548416	1	0
822367881547550720	1	0
1094857776831053825	0	1
15285712	0	1
1229726967701753857	0	1
2950677387	1	0
1070655917920829440	1	0
551165404	1	0
3021399517	1	0
186563559	1	0
124579307	0	1
1588969964	1	0
291662316	1	0
1071621875082674177	1	0
124787187	0	1
4484386293	1	0
288275969	1	0
3281162742	1	0
1509395997084073984	0	1
19227131	0	1
3941277441	1	0
551948799	1	0
